id,rt,rt_range:min,rt_range:max,mz,mz_range:min,mz_range:max,height,area,intensity_range:min,intensity_range:max,fragment_scans,compound_db_identity:compound_db_identity,compound_db_identity:compound_name,compound_db_identity:mol_formula,compound_db_identity:adduct,compound_db_identity:precursor_mz,compound_db_identity:mz_diff_ppm,compound_db_identity:neutral_mass,compound_db_identity:isotope_pattern_score,datafile:HODA_6008-77-2_10mgmL.raw:feature_state,datafile:HODA_6008-77-2_10mgmL.raw:mz,datafile:HODA_6008-77-2_10mgmL.raw:mz_range:min,datafile:HODA_6008-77-2_10mgmL.raw:mz_range:max,datafile:HODA_6008-77-2_10mgmL.raw:rt,datafile:HODA_6008-77-2_10mgmL.raw:rt_range:min,datafile:HODA_6008-77-2_10mgmL.raw:rt_range:max,datafile:HODA_6008-77-2_10mgmL.raw:height,datafile:HODA_6008-77-2_10mgmL.raw:area,datafile:HODA_6008-77-2_10mgmL.raw:intensity_range:min,datafile:HODA_6008-77-2_10mgmL.raw:intensity_range:max,datafile:HODA_6008-77-2_10mgmL.raw:fwhm,datafile:HODA_6008-77-2_10mgmL.raw:tailing_factor,datafile:HODA_6008-77-2_10mgmL.raw:asymmetry_factor,datafile:HODA_6008-77-2_10mgmL.raw:fragment_scans,datafile:HODA_6008-77-2_10mgmL.raw:compound_name,datafile:HODA_6008-77-2_10mgmL.raw:isotopes,datafile:HODA_6008-77-2_10mgmL.raw:isotope_pattern_score
19,2.35,2.30,2.43,515.4961,515.4951,515.4965,2.6E3,2.3E2,8.0E2,2.6E3,0,,,,,,,,,DETECTED,515.4961,515.4951,515.4965,2.35,2.30,2.43,2.6E3,2.3E2,8.0E2,2.6E3,0.10,1.51,2.03,0,,,
20,2.35,2.30,2.43,516.2388,516.2382,516.2394,2.8E3,2.4E2,6.6E2,2.8E3,0,,,,,,,,,DETECTED,516.2388,516.2382,516.2394,2.35,2.30,2.43,2.8E3,2.4E2,6.6E2,2.8E3,0.09,1.51,2.03,0,,,
21,2.35,2.29,2.46,517.1763,517.1761,517.1767,8.7E3,1.0E3,1.3E3,8.7E3,0,,,,,,,,,DETECTED,517.1763,517.1761,517.1767,2.35,2.29,2.46,8.7E3,1.0E3,1.3E3,8.7E3,0.12,1.52,2.04,0,,,
22,2.35,2.29,2.46,519.1794,519.1791,519.1798,7.9E3,9.2E2,1.0E3,7.9E3,0,,,,,,,,,DETECTED,519.1794,519.1791,519.1798,2.35,2.29,2.46,7.9E3,9.2E2,1.0E3,7.9E3,0.12,1.52,2.04,0,,,
23,2.35,2.29,2.46,521.6278,521.6275,521.6280,6.6E3,7.3E2,1.2E3,6.6E3,0,,,,,,,,,DETECTED,521.6278,521.6275,521.6280,2.35,2.29,2.46,6.6E3,7.3E2,1.2E3,6.6E3,0.12,1.52,2.04,0,,,
24,2.35,2.29,2.47,522.3840,522.3837,522.3842,1.1E4,1.2E3,1.3E3,1.1E4,0,,,,,,,,,DETECTED,522.3840,522.3837,522.3842,2.35,2.29,2.47,1.1E4,1.2E3,1.3E3,1.1E4,0.11,1.67,2.35,0,,,
25,2.35,2.29,2.47,523.1416,523.1414,523.1419,1.0E4,1.1E3,1.2E3,1.0E4,0,,,,,,,,,DETECTED,523.1416,523.1414,523.1419,2.35,2.29,2.47,1.0E4,1.1E3,1.2E3,1.0E4,0.11,1.67,2.35,0,,,
26,2.35,2.29,2.47,523.8980,523.8979,523.8983,1.4E4,1.6E3,1.7E3,1.4E4,0,,,,,,,,,DETECTED,523.8980,523.8979,523.8983,2.35,2.29,2.47,1.4E4,1.6E3,1.7E3,1.4E4,0.11,1.67,2.34,0,,,
27,2.35,2.29,2.47,525.4119,525.4117,525.4121,1.1E4,1.1E3,1.2E3,1.1E4,0,,,,,,,,,DETECTED,525.4119,525.4117,525.4121,2.35,2.29,2.47,1.1E4,1.1E3,1.2E3,1.1E4,0.10,1.67,2.36,0,,,
28,2.35,2.30,2.43,537.9588,537.9582,537.9593,3.6E3,3.1E2,1.0E3,3.6E3,0,,,,,,,,,DETECTED,537.9588,537.9582,537.9593,2.35,2.30,2.43,3.6E3,3.1E2,1.0E3,3.6E3,0.10,1.51,2.03,0,,,
29,2.35,2.30,2.43,538.7504,538.7497,538.7514,3.4E3,3.0E2,9.2E2,3.4E3,0,,,,,,,,,DETECTED,538.7504,538.7497,538.7514,2.35,2.30,2.43,3.4E3,3.0E2,9.2E2,3.4E3,0.10,1.51,2.03,0,,,
30,2.35,2.30,2.44,539.5415,539.5411,539.5419,4.5E3,4.3E2,1.0E3,4.5E3,0,,,,,,,,,DETECTED,539.5415,539.5411,539.5419,2.35,2.30,2.44,4.5E3,4.3E2,1.0E3,4.5E3,0.10,1.69,2.38,0,,,
31,2.35,2.30,2.43,540.1545,540.1533,540.1554,3.0E3,2.6E2,8.0E2,3.0E3,0,,,,,,,,,DETECTED,540.1545,540.1533,540.1554,2.35,2.30,2.43,3.0E3,2.6E2,8.0E2,3.0E3,0.09,1.51,2.03,0,,,
32,2.35,2.30,2.43,541.1238,541.1232,541.1254,2.7E3,2.4E2,7.9E2,2.7E3,0,,,,,,,,,DETECTED,541.1238,541.1232,541.1254,2.35,2.30,2.43,2.7E3,2.4E2,7.9E2,2.7E3,0.11,1.51,2.03,0,,,
33,2.35,2.29,2.46,584.1441,584.1434,584.1447,1.2E4,1.1E3,1.3E3,1.2E4,0,,,,,,,,,DETECTED,584.1441,584.1434,584.1447,2.35,2.29,2.46,1.2E4,1.1E3,1.3E3,1.2E4,0.09,1.52,2.04,0,,,
34,2.35,2.29,2.47,586.1457,586.1453,586.1461,1.3E4,1.4E3,1.3E3,1.3E4,0,,,,,,,,,DETECTED,586.1457,586.1453,586.1461,2.35,2.29,2.47,1.3E4,1.4E3,1.3E3,1.3E4,0.11,1.67,2.29,0,,,
35,2.35,2.29,2.47,587.1455,587.1453,587.1460,1.9E4,2.0E3,1.7E3,1.9E4,0,,,,,,,,,DETECTED,587.1455,587.1453,587.1460,2.35,2.29,2.47,1.9E4,2.0E3,1.7E3,1.9E4,0.09,1.67,2.28,0,,,
36,2.35,2.29,2.47,589.1486,589.1481,589.1492,1.7E4,1.8E3,1.6E3,1.7E4,0,"D6; Zeneth Gd-Glydonip (pH7, 40�C), [3M+H]+, 589.1525, ","D6; Zeneth Gd-Glydonip (pH7, 40�C)",C8H8N2O4,[3M+H]+,589.1525,-6.654,196.0484,1.000,DETECTED,589.1486,589.1481,589.1492,2.35,2.29,2.47,1.7E4,1.8E3,1.6E3,1.7E4,0.10,1.67,2.27,0,"D14; Zeneth Gd-Glydonip (pH10, 40�C)",1,1.000
37,2.35,2.30,2.44,589.8075,589.8063,589.8092,2.8E3,2.8E2,8.0E2,2.8E3,0,,,,,,,,,DETECTED,589.8075,589.8063,589.8092,2.35,2.30,2.44,2.8E3,2.8E2,8.0E2,2.8E3,0.12,1.69,2.38,0,,,
38,2.35,2.30,2.44,590.7158,590.7152,590.7163,4.2E3,4.1E2,1.1E3,4.2E3,0,,,,,,,,,DETECTED,590.7158,590.7152,590.7163,2.35,2.30,2.44,4.2E3,4.1E2,1.1E3,4.2E3,0.11,1.69,2.38,0,,,
39,2.35,2.30,2.46,591.6263,591.6257,591.6268,5.1E3,4.8E2,8.4E2,5.1E3,0,,,,,,,,,DETECTED,591.6263,591.6257,591.6268,2.35,2.30,2.46,5.1E3,4.8E2,8.4E2,5.1E3,0.09,1.87,2.74,0,,,
40,2.35,2.30,2.46,592.5369,592.5365,592.5377,6.0E3,6.2E2,1.0E3,6.0E3,0,,,,,,,,,DETECTED,592.5369,592.5365,592.5377,2.35,2.30,2.46,6.0E3,6.2E2,1.0E3,6.0E3,0.11,1.87,2.74,0,,,
41,2.35,2.30,2.43,607.6107,607.6100,607.6121,4.8E3,4.2E2,1.3E3,4.8E3,0,,,,,,,,,DETECTED,607.6107,607.6100,607.6121,2.35,2.30,2.43,4.8E3,4.2E2,1.3E3,4.8E3,0.10,1.51,2.03,0,,,
42,2.35,2.29,2.49,608.5183,608.5180,608.5186,2.0E4,2.2E3,1.4E3,2.0E4,0,,,,,,,,,DETECTED,608.5183,608.5180,608.5186,2.35,2.29,2.49,2.0E4,2.2E3,1.4E3,2.0E4,0.11,1.83,2.46,0,,,
43,2.35,2.29,2.51,609.4711,609.4710,609.4715,3.2E4,3.6E3,1.3E3,3.2E4,0,,,,,,,,,DETECTED,609.4711,609.4710,609.4715,2.35,2.29,2.51,3.2E4,3.6E3,1.3E3,3.2E4,0.11,1.91,2.54,0,,,
44,2.35,2.29,2.51,610.4260,610.4259,610.4264,3.0E4,3.3E3,1.1E3,3.0E4,0,,,,,,,,,DETECTED,610.4260,610.4259,610.4264,2.35,2.29,2.51,3.0E4,3.3E3,1.1E3,3.0E4,0.11,1.90,2.51,0,,,
45,2.35,2.29,2.51,611.3795,611.3794,611.3799,4.2E4,4.7E3,1.6E3,4.2E4,0,,,,,,,,,DETECTED,611.3795,611.3794,611.3799,2.35,2.29,2.51,4.2E4,4.7E3,1.6E3,4.2E4,0.11,1.91,2.53,0,,,
46,2.35,2.29,2.47,612.3355,612.3353,612.3359,1.1E4,1.2E3,1.2E3,1.1E4,0,,,,,,,,,DETECTED,612.3355,612.3353,612.3359,2.35,2.29,2.47,1.1E4,1.2E3,1.2E3,1.1E4,0.10,1.67,2.35,0,,,
47,2.35,2.29,2.51,613.2884,613.2882,613.2891,2.9E4,3.3E3,1.2E3,2.9E4,0,,,,,,,,,DETECTED,613.2884,613.2882,613.2891,2.35,2.29,2.51,2.9E4,3.3E3,1.2E3,2.9E4,0.11,1.91,2.53,0,,,
48,2.35,2.29,2.46,614.2453,614.2434,614.2461,6.4E3,6.7E2,1.0E3,6.4E3,0,,,,,,,,,DETECTED,614.2453,614.2434,614.2461,2.35,2.29,2.46,6.4E3,6.7E2,1.0E3,6.4E3,0.11,1.52,2.04,0,,,
49,2.35,2.29,2.46,624.5617,624.5594,624.5629,5.4E3,6.0E2,1.1E3,5.4E3,0,,,,,,,,,DETECTED,624.5617,624.5594,624.5629,2.35,2.29,2.46,5.4E3,6.0E2,1.1E3,5.4E3,0.12,1.52,2.04,0,,,
50,2.35,2.29,2.49,625.1319,625.1318,625.1323,2.4E4,2.7E3,1.8E3,2.4E4,0,,,,,,,,,DETECTED,625.1319,625.1318,625.1323,2.35,2.29,2.49,2.4E4,2.7E3,1.8E3,2.4E4,0.11,1.83,2.49,0,,,
51,2.35,2.30,2.46,625.5519,625.5499,625.5533,5.3E3,5.3E2,8.6E2,5.3E3,0,,,,,,,,,DETECTED,625.5519,625.5499,625.5533,2.35,2.30,2.46,5.3E3,5.3E2,8.6E2,5.3E3,0.11,1.87,2.74,0,,,
52,2.35,2.29,2.47,626.5417,626.5411,626.5428,7.4E3,7.8E2,8.6E2,7.4E3,0,,,,,,,,,DETECTED,626.5417,626.5411,626.5428,2.35,2.29,2.47,7.4E3,7.8E2,8.6E2,7.4E3,0.10,1.67,2.39,0,,,
53,2.35,2.27,2.70,627.1328,627.1325,627.1331,2.7E5,3.3E4,9.0E2,2.7E5,0,,,,,,,,,DETECTED,627.1328,627.1325,627.1331,2.35,2.27,2.70,2.7E5,3.3E4,9.0E2,2.7E5,0.11,1.64,1.97,0,,,
54,2.35,2.20,3.42,628.1344,628.1340,628.1347,2.0E6,2.5E5,8.0E2,2.0E6,0,,,,,,,,,DETECTED,628.1344,628.1340,628.1347,2.35,2.20,3.42,2.0E6,2.5E5,8.0E2,2.0E6,0.11,1.45,1.90,0,,,
55,2.35,2.29,2.53,628.6343,628.6342,628.6347,1.1E5,1.2E4,1.7E3,1.1E5,0,,,,,,,,,DETECTED,628.6343,628.6342,628.6347,2.35,2.29,2.53,1.1E5,1.2E4,1.7E3,1.1E5,0.10,1.88,2.41,0,,,
56,2.35,2.20,3.07,629.1341,629.1334,629.1345,3.2E6,3.9E5,1.0E3,3.2E6,0,,,,,,,,,DETECTED,629.1341,629.1334,629.1345,2.35,2.20,3.07,3.2E6,3.9E5,1.0E3,3.2E6,0.11,1.45,1.90,0,,,
57,2.35,2.29,2.53,629.6350,629.6348,629.6353,2.7E5,2.8E4,3.5E3,2.7E5,0,,,,,,,,,DETECTED,629.6350,629.6348,629.6353,2.35,2.29,2.53,2.7E5,2.8E4,3.5E3,2.7E5,0.10,1.87,2.38,0,,,
58,2.35,2.20,3.35,630.1356,630.1355,630.1361,2.9E6,3.5E5,9.6E2,2.9E6,0,,,,,,,,,DETECTED,630.1356,630.1355,630.1361,2.35,2.20,3.35,2.9E6,3.5E5,9.6E2,2.9E6,0.11,1.45,1.89,0,,,
59,2.35,2.29,2.54,630.6358,630.6357,630.6363,3.3E5,3.5E4,2.0E3,3.3E5,0,,,,,,,,,DETECTED,630.6358,630.6357,630.6363,2.35,2.29,2.54,3.3E5,3.5E4,2.0E3,3.3E5,0.10,1.91,2.43,0,,,
60,2.35,2.19,2.98,631.1356,631.1354,631.1362,4.0E6,4.9E5,9.2E2,4.0E6,0,,,,,,,,,DETECTED,631.1356,631.1354,631.1362,2.35,2.19,2.98,4.0E6,4.9E5,9.2E2,4.0E6,0.11,1.45,1.89,0,,,
61,2.35,2.29,2.54,631.6368,631.6365,631.6374,2.2E5,2.4E4,1.5E3,2.2E5,0,,,,,,,,,DETECTED,631.6368,631.6365,631.6374,2.35,2.29,2.54,2.2E5,2.4E4,1.5E3,2.2E5,0.10,1.87,2.41,0,,,
62,2.35,2.27,2.90,632.1381,632.1379,632.1396,9.6E5,1.1E5,9.3E2,9.6E5,0,,,,,,,,,DETECTED,632.1381,632.1379,632.1396,2.35,2.27,2.90,9.6E5,1.1E5,9.3E2,9.6E5,0.11,1.62,1.94,0,,,
63,2.35,2.29,2.51,632.6383,632.6380,632.6390,7.9E4,8.4E3,2.3E3,7.9E4,0,,,,,,,,,DETECTED,632.6383,632.6380,632.6390,2.35,2.29,2.51,7.9E4,8.4E3,2.3E3,7.9E4,0.10,1.87,2.43,0,,,
64,2.35,2.20,3.56,633.1379,633.1377,633.1389,3.0E6,3.6E5,1.1E3,3.0E6,0,,,,,,,,,DETECTED,633.1379,633.1377,633.1389,2.35,2.20,3.56,3.0E6,3.6E5,1.1E3,3.0E6,0.11,1.45,1.90,0,,,
65,2.35,2.27,2.86,634.1412,634.1410,634.1425,5.8E5,6.9E4,9.2E2,5.8E5,0,,,,,,,,,DETECTED,634.1412,634.1410,634.1425,2.35,2.27,2.86,5.8E5,6.9E4,9.2E2,5.8E5,0.11,1.63,1.95,0,,,
66,2.35,2.29,2.56,635.1436,635.1432,635.1443,7.2E4,8.3E3,8.6E2,7.2E4,0,,,,,,,,,DETECTED,635.1436,635.1432,635.1443,2.35,2.29,2.56,7.2E4,8.3E3,8.6E2,7.2E4,0.11,1.97,2.56,0,,,
67,2.35,2.29,2.46,635.7801,635.7791,635.7814,6.8E3,7.0E2,1.1E3,6.8E3,0,,,,,,,,,DETECTED,635.7801,635.7791,635.7814,2.35,2.29,2.46,6.8E3,7.0E2,1.1E3,6.8E3,0.10,1.52,2.04,0,,,
68,2.35,2.29,2.47,636.1459,636.1454,636.1474,1.0E4,1.1E3,1.1E3,1.0E4,0,,,,,,,,,DETECTED,636.1459,636.1454,636.1474,2.35,2.29,2.47,1.0E4,1.1E3,1.1E3,1.0E4,0.12,1.67,2.34,0,,,
69,2.35,2.30,2.44,637.8050,637.8030,637.8060,5.2E3,4.8E2,1.1E3,5.2E3,0,,,,,,,,,DETECTED,637.8050,637.8030,637.8060,2.35,2.30,2.44,5.2E3,4.8E2,1.1E3,5.2E3,0.10,1.69,2.38,0,,,
70,2.35,2.29,2.51,645.1595,645.1592,645.1605,2.9E4,3.4E3,1.4E3,2.9E4,0,,,,,,,,,DETECTED,645.1595,645.1592,645.1605,2.35,2.29,2.51,2.9E4,3.4E3,1.4E3,2.9E4,0.12,1.94,2.63,0,,,
71,2.35,2.29,2.51,646.1588,646.1585,646.1596,3.4E4,4.0E3,1.6E3,3.4E4,0,,,,,,,,,DETECTED,646.1588,646.1585,646.1596,2.35,2.29,2.51,3.4E4,4.0E3,1.6E3,3.4E4,0.12,1.96,2.64,0,,,
72,2.35,2.29,2.53,647.1612,647.1610,647.1623,3.3E4,4.1E3,9.4E2,3.3E4,0,,,,,,,,,DETECTED,647.1612,647.1610,647.1623,2.35,2.29,2.53,3.3E4,4.1E3,9.4E2,3.3E4,0.13,2.03,2.70,0,,,
73,2.35,2.29,2.53,648.1611,648.1608,648.1621,4.3E4,5.5E3,1.1E3,4.3E4,0,,,,,,,,,DETECTED,648.1611,648.1608,648.1621,2.35,2.29,2.53,4.3E4,5.5E3,1.1E3,4.3E4,0.13,2.00,2.68,0,,,
74,2.35,2.29,2.49,648.7152,648.7148,648.7155,2.0E4,2.3E3,1.4E3,2.0E4,0,,,,,,,,,DETECTED,648.7152,648.7148,648.7155,2.35,2.29,2.49,2.0E4,2.3E3,1.4E3,2.0E4,0.11,1.83,2.45,0,,,
75,2.35,2.29,2.51,649.7642,649.7640,649.7646,3.4E4,3.8E3,1.3E3,3.4E4,0,,,,,,,,,DETECTED,649.7642,649.7640,649.7646,2.35,2.29,2.51,3.4E4,3.8E3,1.3E3,3.4E4,0.11,1.91,2.52,0,,,
76,2.35,2.29,2.51,650.8152,650.8151,650.8157,3.1E4,3.5E3,1.2E3,3.1E4,0,,,,,,,,,DETECTED,650.8152,650.8151,650.8157,2.35,2.29,2.51,3.1E4,3.5E3,1.2E3,3.1E4,0.11,1.91,2.51,0,,,
77,2.35,2.29,2.47,651.1678,651.1673,651.1687,9.1E3,1.0E3,9.7E2,9.1E3,0,"BP15; U15, [M+3H]3+, 651.1675, ",BP15; U15,C62H98O23N19Gd3,[M+3H]3+,651.1675,0.465,1950.4806,,DETECTED,651.1678,651.1673,651.1687,2.35,2.29,2.47,9.1E3,1.0E3,9.7E2,9.1E3,0.12,1.67,2.30,0,,,
78,2.35,2.29,2.51,651.8650,651.8648,651.8655,4.1E4,4.6E3,1.6E3,4.1E4,0,,,,,,,,,DETECTED,651.8650,651.8648,651.8655,2.35,2.29,2.51,4.1E4,4.6E3,1.6E3,4.1E4,0.11,1.91,2.54,0,,,
79,2.35,2.29,2.47,652.9175,652.9170,652.9182,1.0E4,1.1E3,1.1E3,1.0E4,0,,,,,,,,,DETECTED,652.9175,652.9170,652.9182,2.35,2.29,2.47,1.0E4,1.1E3,1.1E3,1.0E4,0.11,1.67,2.33,0,,,
80,2.35,2.29,2.51,653.9668,653.9667,653.9675,3.0E4,3.4E3,1.2E3,3.0E4,0,,,,,,,,,DETECTED,653.9668,653.9667,653.9675,2.35,2.29,2.51,3.0E4,3.4E3,1.2E3,3.0E4,0.11,1.91,2.55,0,,,
81,2.35,2.29,2.46,655.0204,655.0196,655.0211,6.0E3,6.5E2,9.3E2,6.0E3,0,,,,,,,,,DETECTED,655.0204,655.0196,655.0211,2.35,2.29,2.46,6.0E3,6.5E2,9.3E2,6.0E3,0.11,1.52,2.04,0,,,
82,2.35,2.30,2.46,671.4258,671.4247,671.4263,5.8E3,5.4E2,9.7E2,5.8E3,0,,,,,,,,,DETECTED,671.4258,671.4247,671.4263,2.35,2.30,2.46,5.8E3,5.4E2,9.7E2,5.8E3,0.09,1.87,2.74,0,,,
83,2.35,2.30,2.44,672.5290,672.5284,672.5295,5.5E3,5.1E2,1.2E3,5.5E3,0,,,,,,,,,DETECTED,672.5290,672.5284,672.5295,2.35,2.30,2.44,5.5E3,5.1E2,1.2E3,5.5E3,0.10,1.69,2.38,0,,,
84,2.35,2.30,2.46,673.6329,673.6325,673.6334,7.3E3,7.1E2,1.1E3,7.3E3,0,,,,,,,,,DETECTED,673.6329,673.6325,673.6334,2.35,2.30,2.46,7.3E3,7.1E2,1.1E3,7.3E3,0.11,1.87,2.74,0,,,
85,2.35,2.30,2.46,675.8406,675.8396,675.8414,4.9E3,4.8E2,8.7E2,4.9E3,0,,,,,,,,,DETECTED,675.8406,675.8396,675.8414,2.35,2.30,2.46,4.9E3,4.8E2,8.7E2,4.9E3,0.11,1.87,2.74,0,,,
86,2.35,2.30,2.43,745.6162,745.6157,745.6171,2.8E3,2.7E2,9.3E2,2.8E3,0,,,,,,,,,DETECTED,745.6162,745.6157,745.6171,2.35,2.30,2.43,2.8E3,2.7E2,9.3E2,2.8E3,0.11,1.51,2.03,0,,,
87,2.35,2.30,2.43,746.9083,746.9070,746.9095,3.5E3,3.0E2,9.2E2,3.5E3,0,,,,,,,,,DETECTED,746.9083,746.9070,746.9095,2.35,2.30,2.43,3.5E3,3.0E2,9.2E2,3.5E3,0.10,1.51,2.03,0,,,
88,2.35,2.30,2.44,748.1993,748.1991,748.2002,4.4E3,4.1E2,9.8E2,4.4E3,0,,,,,,,,,DETECTED,748.1993,748.1991,748.2002,2.35,2.30,2.44,4.4E3,4.1E2,9.8E2,4.4E3,0.10,1.69,2.38,0,,,
89,2.35,2.30,2.41,750.7846,750.7829,750.7851,2.9E3,2.3E2,8.9E2,2.9E3,0,,,,,,,,,DETECTED,750.7846,750.7829,750.7851,2.35,2.30,2.41,2.9E3,2.3E2,8.9E2,2.9E3,0.09,1.34,1.68,0,,,
90,2.35,2.29,2.46,770.9320,770.9314,770.9326,7.2E3,7.7E2,1.1E3,7.2E3,0,,,,,,,,,DETECTED,770.9320,770.9314,770.9326,2.35,2.29,2.46,7.2E3,7.7E2,1.1E3,7.2E3,0.11,1.52,2.04,0,,,
