"Sample","Diet","1,3-D","3-HB","3-HP","3-PP","Acetate","Acetoacetate","Alanine","Aspartate","Benzoate","Butyrate","Cadaverine","Caffeine","Choline","Dimethylamine","Ethanol","Ferulate","Formate","Glutamate","Glycerol","Glycine","Histidine","Hypoxanthine","Isobutyrate","Isoleucine","Isovalerate","Lactate","Leucine","Lysine","Maltose","Methanol","Methylamine","NDMA","Nicotinate","Phenylacetate","PAG","Proline","Propionate","Ribose","Succinate","Tyrosine","Uracil","Valerate","Valine","Xanthine","Endotoxin","Glucose","Fumarate"
"15_3_3",15,9.3,106.1,56.4,485.9,50277.5,77.5,176.7,234.7,17,12492.6,70.6,18.1,18,9,572.8,0,15.7,512.9,159.3,160.1,54.5,110.1,1734.4,179.4,1011.8,216,84.2,97.3,32,26.9,24,58,29,529.4,39,30.8,23860.6,90.1,78.9,44.2,132.3,2588.3,132.4,99.1,664,543,0
"15_3_5",15,1.6,37.5,40.7,280,33483.7,35.1,143.9,104.2,27.1,4991.4,29.1,6.1,8.2,4.5,63.2,16.7,456,228.8,43.2,47,15.6,57.4,1045.7,67.9,598,74.5,47.3,71.2,43.4,18.1,21.2,30.8,13.3,327.2,32.4,56.8,11149.9,26.8,68.2,15.2,58.8,1262.2,56.8,73.8,1207,293,2.4
"15_3_7",15,3.9,31.9,32.3,251.1,31798,25.3,170.4,133.2,26.3,3713.9,25.5,6.8,8.9,5.7,62.5,15.1,421.2,279.8,51.4,70.6,18,97.1,860.9,81.7,416.7,59.7,82,74.2,25.5,27.8,42.4,41.8,17.3,217.2,38,70.1,9954.8,172.7,100.5,24.3,112.2,741,59.4,61.1,735,427,5.5
"15_3_10",15,9.4,59.5,50.4,447.6,61210.2,36.7,322.5,113.1,58.4,4320.2,79.8,10.2,15.3,15.7,152.6,26.7,500.1,373.2,116.3,122,68.5,149.6,1473,124.4,689.8,142.2,112.2,109.1,28.3,27.7,746.5,50.9,40.7,435.2,61.6,97.3,35112.5,326.9,69.1,53.3,233.1,4735,120.3,190.3,1060,1020,10
"15_4_1",15,4.2,34.6,36.4,293.8,41926.8,17.2,194.8,109.8,21.7,4872.4,24.8,5.4,8.5,2.3,98.4,0,5.7,204.4,68.7,85.6,14.8,63,788.9,75.6,701.9,59.4,70.5,93.8,13.2,2.1,10.9,27.8,16.2,265.8,33,88.7,10869.2,111.9,50.5,29.1,98.8,1271.6,97.2,27.9,647,430,0
"15_4_3",15,4.8,173,83.5,416.9,36563.4,60.8,252.1,297.8,46.6,4923.4,114.2,20.8,26.4,7.1,298.2,0,23.8,572.4,203.5,196.7,17.9,120,1722.4,275.2,309.2,267.3,190.2,213.1,91.8,30.2,22.4,112.3,34.7,461,129.3,134.7,18361.1,148.4,152.3,69.3,187.8,1720.4,216.3,120.7,648,838,0
"15_4_5",15,6.8,32.7,39.9,313.7,38568.7,35.1,215.9,148.1,25.5,5521.3,49.2,8.9,19.8,5.1,73.3,11.3,589.2,301.1,89.9,87.7,13.7,114.5,878.9,81.8,493.4,51.9,78.2,75.6,55.3,26.3,13.7,30,16.4,176.8,52.1,186.9,10551.2,328.4,131.3,18.2,161.2,874.2,70.3,145.7,940,574,6
"15_4_7",15,8.5,44.8,72.9,590.5,49834.9,64.9,217.4,197.8,74.6,8074.5,74.7,12.2,11.2,9.1,134.4,21.1,690.9,379.6,98.9,82.5,45,425.4,1548.1,106.4,1104.6,65,100.4,142.4,124.6,31.9,22.3,29.5,24.8,464.5,67.4,208.9,16580.2,581.4,88,64.6,205.3,2154.7,100.2,107.8,863,382,20.4
"15_4_10",15,7.2,50.1,85.2,480.8,42260.2,50.7,195.6,131.1,54.3,9871.5,37.7,10.2,15.2,9.2,126.7,27.8,656,314.2,95.4,73.4,33.2,110.1,1305.8,113.5,760,95.4,91.2,92.6,107.8,25.2,442.9,58.6,28.4,342.2,56.6,172.3,20784.8,482.6,60.2,47.9,183.4,2372.8,82.1,131.3,641,722,13.9
"30_5_1",30,15.3,48.7,37,327.1,43671.1,23,465.3,283.2,62.4,6142.5,70.5,13.5,20.2,4.6,161.8,0,31.7,534.7,146.2,227.5,0,121.1,1389.5,156.3,878.9,184.2,226.6,120.2,67.8,18.2,43.9,63.5,41.5,338.7,62,267.7,15936.2,185.1,92.1,87.4,296.3,2977.4,156.2,126.9,2411,1165,0
"30_5_3",30,8.4,53.5,60.5,334.1,40366.5,75.6,515.5,339.4,50,5234.72,90.7,17.9,14.1,9.4,267.8,0,49.1,630.3,255.7,205.7,20.7,88.6,2015.8,295.7,1819.3,327.2,245.2,105.5,15.8,37.9,28.4,102.6,30.6,673.7,111.5,233.5,19808,267.8,111,75.4,168.7,2520.5,222.8,101.3,7513,352,0
"30_5_5",30,4.6,44.9,58.6,332.2,42725.6,58.7,475.4,193.3,56.4,7182.7,107.2,18.5,24.4,7.4,229.5,0,586,452.1,113.4,178,45.9,248,1372.5,275,1020.4,284.4,156.4,148.5,61.3,28.3,26,102,35.2,505.6,98.7,135.79,14895.6,320,127.6,56.3,227.4,2877.2,186.2,192.5,10030,977,0
"30_5_7",30,5.6,34.3,51.4,306.3,36978.6,53.4,351.3,175.8,60.3,4710.3,89,18.8,18.3,9,150.5,0,537.6,437.5,126.6,110.7,15.3,136.1,1005.4,175.3,566.2,169.6,124.2,84.8,35.3,36.4,27.8,61.4,49,209.4,100.5,94.8,10296.1,565.3,110.7,27.5,177.1,1109.8,126.6,132.4,10212,209,0
"30_5_10",30,9.1,43.1,34.9,289.8,41883.4,60.4,390.1,99.4,57.5,5643.8,104,10.6,10.1,211.8,240.4,0,434.9,379.4,108,125.9,65.9,98.4,924.8,189.3,545,206.9,126.6,146.3,54.7,19.9,615.4,79.9,51.2,278.5,59.9,129.7,24457,461.5,111.4,27.3,181.8,3690.9,108.2,172.5,8605,471,0
"30_6_1",30,9.7,35.2,40,252.5,33493.3,57.7,304.8,268.2,45.8,5192.7,72.9,15.2,17.5,9.8,186.4,0,38.6,312.5,112.5,181.4,0,101.9,756.3,141,937.5,211.7,123.4,165.2,63.2,22.6,52.6,99,22.3,340.5,65.4,73.4,15605.3,113.4,118.8,66.7,172.5,1390.2,205.9,103.3,6320,415,0
"30_6_3",30,11.2,87,62.6,382.2,40897.9,59.9,357.47,300.3,48.4,8674.1,113.9,17.6,22.3,6.7,223,0,88.6,614.3,227.9,233.5,19.5,102.1,1662.3,300.2,1298.3,380.5,225.8,168.8,42.4,27.9,24.6,119.6,34.4,409.5,81.1,195.7,19193.9,270.7,183.4,74.8,176.6,2116.8,274.1,112.9,6875,619,0
"30_6_5",30,6.9,40.1,30.3,335.2,49368.1,56.3,347.6,140,62.5,7979.3,131.9,19.5,19.4,11.8,233.3,0,521.3,367.2,144.2,138.5,29.1,151.1,1021.6,287.2,645.5,193.1,173.4,155.6,53.4,40.2,659.9,106.6,39.9,301.1,127,236.2,23945,446.6,44,21.1,205.8,2412.8,181.4,168.8,341,1071,0
"30_6_7",30,3.2,36.1,41,327.9,42930.5,48.2,380.7,102.7,47.9,6725.4,78.1,12.6,11.4,12.9,170.8,0,459.5,348,118.9,92,79.4,582.9,1083.1,234.1,787.7,165,119.6,73.6,57.3,24.5,272,78.5,26.7,345.8,53.8,173.8,18458.3,259.2,70.8,37.3,161.4,3011.9,100,134.7,6271,497,0
"30_6_10",30,5.2,44.1,41,337.9,41930.5,48.2,385.6,112.7,47.9,6725.4,78.1,12.6,11.4,11.9,170.8,0,459.5,348,128.6,90.1,79.4,562.9,883.1,167.8,787.7,165,119.6,83.6,65.7,24.5,272,68,26.7,335.8,53.8,153.8,16458.3,259.2,70.8,37.3,161.4,3011.9,111.5,134.7,4696,503,0
"45_7_1",45,5.2,54.7,28.2,256.5,49745.7,16.6,327.8,88.7,22.9,9539.8,110.4,22.7,14.6,39.1,583.9,0,8.4,315.2,135.4,121.7,15,106.2,1074.2,104.2,813.2,81.1,117.3,103.4,61.6,17.3,902.8,121.5,33.8,352.6,87.9,158.3,24540.8,201.8,53.5,44.4,172.3,2297.7,120.9,79.1,7613,1452,0
"45_7_3",45,8,68.8,41.1,319.4,62273.7,72.6,435.3,211.1,37,11277,128.1,24.5,39.6,8.1,331.7,0,21.4,648.3,93.7,290.1,24.6,141,1516.8,253.5,1133.8,250.5,213.6,209.5,126.1,37.6,362.6,171.1,36.5,487.7,124.3,173.6,22955.4,253.3,102,93.1,264.8,2493.9,273.5,114.7,10747,3061,0
"45_7_5",45,5.4,63.1,30.2,298,61572.3,57.8,393.7,111.9,35,11734.3,107.3,12.9,29.2,50.4,164.2,10.1,73.3,423.2,213.8,122.9,12.9,226.7,1482.1,114,941.5,80.1,142.4,143.5,213.8,27.1,737.7,101.7,21.5,394.4,75.5,160.1,24032,138.4,37.1,62.4,276.4,2493.8,180.6,222.9,3220,3061,7.9
"45_7_7",45,4.5,64.4,42,343.8,54081,31.4,470.8,103.3,27.3,11695.8,49.1,9.8,27.7,7.4,90.3,9.5,462.4,490.1,112,112.2,28.2,219.9,1647.6,181.8,985.4,122.6,172.5,249.3,22,25.2,577.9,71.5,41.8,468.3,79.4,131.7,23408.3,239,32,54.4,197.2,2587.3,178.3,164.2,7866,1598,11
"45_7_10",45,5.4,47.8,51.2,289.2,58097.6,39,374.1,114.9,31.2,8163.6,52.1,10.1,15.8,9.4,61.5,26.6,902.2,393.1,132.5,142.3,23.5,145,1362.6,125.5,778.2,149.2,125.4,216,72,17.4,497.5,66.6,21,481,56.5,126.6,22786.4,307.8,97.5,33.8,209.8,1743.3,121.6,171.6,5759,1468,15.2
"45_8_1",45,9.4,97.8,27,259.1,47057.5,77.2,348.2,77.5,45.3,8556.7,110.2,7.9,7.9,28.9,525.8,0,14.9,318.3,201.5,137.9,38.9,448.5,1274,95.7,784.4,91,160.7,117.6,67.4,17.9,643.6,98.8,46.7,384,113.5,116.7,38098.1,172.7,79.9,37.6,198.9,2841,187.4,105.1,9892,1164,0
"45_8_3",45,8.9,127.6,32.9,302.9,48224.5,68,532.9,191,33.9,9622.7,132.1,17.8,13,10.3,396.1,0,17,535.2,197.1,192.4,20.3,406.4,1440.2,244.6,1190.4,211.4,222.8,230.6,31.8,25.1,465.4,135.2,41.8,392,153,142.6,32492.6,147.9,100.2,55.8,249.4,2431.1,206,127.5,5797,1738,0
"45_8_5",45,6.2,65.2,22.8,291,59572.3,51.8,373.7,101.9,25,10734.3,107.9,11.5,29.8,52.4,264.5,11.1,75.3,433.9,223.1,127.5,13.9,246.7,1382.2,104,951.5,82.1,132.9,261.3,208.9,36.1,723.4,111.2,25.5,384.9,75.5,193.4,24032,138.4,37.1,52.4,256.4,2393.9,188.6,232.4,8122,2658,5.9
"45_8_7",45,6,92.2,96.5,588.4,54515.9,110.5,411.7,115.2,79.6,13134.4,189.9,12.7,13.4,122.8,879.1,24.4,352.4,308.1,296.3,99.7,34.8,102.6,1617,139.3,1182.8,136.9,131.7,241.3,408.6,489.2,614.3,83.3,28.5,574.3,51,131.5,35843.8,194.1,64.3,67.1,180.5,4675.3,156.1,137.7,9666,2998,9.6
"45_8_10",45,5,89.8,56.7,339.5,69857.2,55.4,484.4,120.5,44.3,8389.2,114.1,7.1,7.7,8.4,117.6,37.3,662.2,387.9,104.9,159.2,36.2,156.6,1454.3,125.5,1169,131.5,135,207.3,37.4,26.1,555.4,48.7,25.7,507.4,63.2,125,27904.5,349,169.3,37.1,258.5,2957.5,150.4,197,10219,863,14.8
